Station Number,Year,Satellite Average
628,1996,0.043961748633879784
628,1997,0.06071232876712329
628,1998,0.0643013698630137
628,1999,0.010383561643835616
628,2000,0.04013661202185792
628,2001,0.02619178082191781
628,2002,0.04961643835616438
628,2003,0.020986301369863014
628,2004,0.03478142076502733
628,2005,0.024657534246575342
628,2006,0.022767123287671234
628,2007,0.040438356164383564
628,2008,0.046502732240437154
628,2009,0.013917808219178082
628,2010,0.009835616438356164
628,2011,0.04071232876712329
628,2012,0.03598360655737705
628,2013,0.06071232876712329
628,2014,0.017701492537313433
629,1981,3.5937534246575344
629,1982,2.365315068493151
629,1983,2.2467671232876714
629,1984,2.503032786885246
629,1985,2.3065479452054793
629,1986,2.094054794520548
629,1987,1.9776712328767123
629,1988,2.9601092896174865
629,1989,1.9337260273972605
629,1990,2.459808219178082
629,1991,1.4533972602739726
629,1992,1.8519945355191259
629,1993,1.4526849315068493
629,1994,1.4624109589041094
629,1995,1.6567945205479453
629,1996,1.6310382513661204
629,1997,0.8721917808219178
629,1998,1.704931506849315
629,1999,1.0502739726027397
629,2000,2.182540983606557
629,2001,1.8644931506849314
629,2002,1.0903835616438355
629,2003,1.453068493150685
629,2004,3.1965300546448088
629,2005,3.553698630136986
629,2006,3.4090136986301367
629,2007,4.21386301369863
629,2008,4.894890710382514
629,2009,3.1726027397260275
629,2010,3.303671232876712
629,2011,3.9083561643835614
629,2012,3.951147540983606
629,2013,5.279205479452055
629,2014,5.125164179104478
633,1981,2.068986301369863
633,1982,1.3522739726027397
633,1983,1.2011780821917808
633,1984,1.517158469945355
633,1985,1.3290684931506849
633,1986,1.1719452054794521
633,1987,1.2184383561643837
633,1988,1.5872950819672131
633,1989,1.059041095890411
633,1990,1.2733698630136987
633,1991,0.8407397260273973
633,1992,1.0048907103825138
633,1993,0.8683561643835616
633,1994,0.7822465753424657
633,1995,0.9973150684931507
633,1996,1.0510655737704917
633,1997,0.5940547945205479
633,1998,1.0343287671232877
633,1999,0.680027397260274
633,2000,1.1979234972677595
633,2001,1.100082191780822
633,2002,0.7077534246575342
633,2003,0.8643013698630138
633,2004,2.195655737704918
633,2005,2.1706301369863015
633,2006,2.144
633,2007,2.503260273972603
633,2008,2.8059016393442624
633,2009,1.863232876712329
633,2010,1.9226575342465753
633,2011,2.2693972602739727
633,2012,2.521857923497268
633,2013,3.5122739726027397
633,2014,3.9787462686567165
816,1981,2.256767123287671
816,1982,1.58986301369863
816,1983,1.0742739726027397
816,1984,1.7547540983606558
816,1985,1.5312054794520547
816,1986,1.1676712328767123
816,1987,1.4873972602739725
816,1988,1.7763661202185792
816,1989,1.1992054794520548
816,1990,1.59186301369863
816,1991,0.968876712328767
816,1992,1.0998907103825137
816,1993,1.1106575342465752
816,1994,0.8998904109589041
816,1995,1.1853972602739726
816,1996,1.295327868852459
816,1997,0.7854520547945205
816,1998,1.2768767123287672
816,1999,0.8898082191780822
816,2000,1.330655737704918
816,2001,1.1947397260273973
816,2002,0.8892876712328767
816,2003,0.9544657534246576
816,2004,2.6489344262295083
816,2005,2.303561643835616
816,2006,2.3145205479452056
816,2007,2.568082191780822
816,2008,2.852704918032787
816,2009,1.8970958904109592
816,2010,2.147945205479452
816,2011,2.361205479452055
816,2012,2.5545355191256833
816,2013,3.6363835616438354
816,2014,0.06
820,1981,2.9101643835616438
820,1982,1.9957260273972603
820,1983,1.5443287671232875
820,1984,2.22275956284153
820,1985,1.88372602739726
820,1986,1.4917260273972603
820,1987,1.8186301369863012
820,1988,2.2810109289617486
820,1989,1.5975616438356164
820,1990,2.054821917808219
820,1991,1.2154520547945205
820,1992,1.4727322404371583
820,1993,1.3184109589041098
820,1994,1.2141095890410958
820,1995,1.4913150684931509
820,1996,1.530928961748634
820,1997,0.7750958904109589
820,1998,1.5780821917808219
820,1999,0.9722191780821918
820,2000,1.6659016393442623
820,2001,1.5099178082191782
820,2002,0.9271506849315069
820,2003,1.1643013698630136
820,2004,3.057131147540984
820,2005,2.9741369863013696
820,2006,2.965178082191781
820,2007,3.4352328767123286
820,2008,4.080409836065574
820,2009,2.6295342465753424
820,2010,2.703260273972603
820,2011,3.168657534246575
820,2012,3.6460382513661203
820,2013,4.8519726027397265
820,2014,0.16
821,1981,2.9101643835616438
821,1982,1.9957260273972603
821,1983,1.5443287671232875
821,1984,2.22275956284153
821,1985,1.88372602739726
821,1986,1.4917260273972603
821,1987,1.8186301369863012
821,1988,2.2810109289617486
821,1989,1.5975616438356164
821,1990,2.054821917808219
821,1991,1.2154520547945205
821,1992,1.4727322404371583
821,1993,1.3184109589041098
821,1994,1.2141095890410958
821,1995,1.4913150684931509
821,1996,1.530928961748634
821,1997,0.7750958904109589
821,1998,1.5780821917808219
821,1999,0.9722191780821918
821,2000,1.6659016393442623
821,2001,1.5099178082191782
821,2002,0.9271506849315069
821,2003,1.1643013698630136
821,2004,3.057131147540984
821,2005,2.9741369863013696
821,2006,2.965178082191781
