File,Year,Average Data,Is Leap Year
28 best from 1002 c.xlsx,1996,10.00497116,TRUE
28 best from 1002 c.xlsx,1997,5.335513155,FALSE
28 best from 1002 c.xlsx,1998,7.398405632,FALSE
28 best from 1002 c.xlsx,1999,7.675637095,FALSE
28 best from 1002 c.xlsx,2000,6.971568978,TRUE
28 best from 1002 c.xlsx,2001,6.85133018,FALSE
28 best from 1002 c.xlsx,2002,7.03389215,FALSE
28 best from 1002 c.xlsx,2003,7.054982605,FALSE
28 best from 1002 c.xlsx,2004,7.345169247,TRUE
28 best from 1002 c.xlsx,2005,4.917203196,FALSE
28 best from 1002 c.xlsx,2006,4.997043379,FALSE
28 best from 1002 c.xlsx,2007,5.248221896,FALSE
28 best from 1002 c.xlsx,2008,5.826726082,TRUE
29 best from 1005 c.xlsx,1981,8.380273973,FALSE
29 best from 1005 c.xlsx,1982,5.052054795,FALSE
29 best from 1005 c.xlsx,1983,7.27369863,FALSE
29 best from 1005 c.xlsx,1984,9.633333333,TRUE
29 best from 1005 c.xlsx,1985,6.185753425,FALSE
29 best from 1005 c.xlsx,1986,7.559452055,FALSE
29 best from 1005 c.xlsx,1987,7.711506849,FALSE
29 best from 1005 c.xlsx,1988,5.465027322,TRUE
29 best from 1005 c.xlsx,1989,4.533972603,FALSE
29 best from 1005 c.xlsx,1990,7.390136986,FALSE
29 best from 1005 c.xlsx,1991,4.203561644,FALSE
29 best from 1005 c.xlsx,1992,3.833333333,TRUE
29 best from 1005 c.xlsx,1993,4.710136986,FALSE
29 best from 1005 c.xlsx,1994,3.543287671,FALSE
29 best from 1005 c.xlsx,1995,5.486316047,FALSE
29 best from 1005 c.xlsx,1996,5.194769711,TRUE
29 best from 1005 c.xlsx,1997,5.262146119,FALSE
29 best from 1005 c.xlsx,1998,5.781276908,FALSE
29 best from 1005 c.xlsx,1999,7.501422048,FALSE
29 best from 1005 c.xlsx,2000,6.288566875,TRUE
29 best from 1005 c.xlsx,2001,6.224225375,FALSE
29 best from 1005 c.xlsx,2002,5.948031637,FALSE
29 best from 1005 c.xlsx,2003,6.523683953,FALSE
29 best from 1005 c.xlsx,2004,5.728392532,TRUE
29 best from 1005 c.xlsx,2005,4.434719504,FALSE
29 best from 1005 c.xlsx,2006,5.06738878,FALSE
29 best from 1005 c.xlsx,2007,5.501917808,FALSE
29 best from 1005 c.xlsx,2008,5.561272443,TRUE
29 best from 1005 c.xlsx,2009,4.578196347,FALSE
29 best from 1102 c.xlsx,1981,5.450958904,FALSE
29 best from 1102 c.xlsx,1982,5.002465753,FALSE
29 best from 1102 c.xlsx,1983,4.864657534,FALSE
29 best from 1102 c.xlsx,1984,5.564220661,TRUE
29 best from 1102 c.xlsx,1985,7.440273973,FALSE
29 best from 1102 c.xlsx,1986,4.836712329,FALSE
29 best from 1102 c.xlsx,1987,5.930684932,FALSE
29 best from 1102 c.xlsx,1988,4.904644809,TRUE
29 best from 1102 c.xlsx,1989,4.798356164,FALSE
29 best from 1102 c.xlsx,1990,4.64630137,FALSE
29 best from 1102 c.xlsx,1991,4.793525114,FALSE
29 best from 1102 c.xlsx,1992,4.238934426,TRUE
29 best from 1102 c.xlsx,1993,5.613150685,FALSE
29 best from 1102 c.xlsx,1994,5.503378995,FALSE
29 best from 1102 c.xlsx,1995,6.079452055,FALSE
29 best from 1102 c.xlsx,1996,5.938797814,TRUE
29 best from 1102 c.xlsx,1997,5.006849315,FALSE
29 best from 1102 c.xlsx,1998,6.621689498,FALSE
29 best from 1102 c.xlsx,1999,6.961056751,FALSE
29 best from 1102 c.xlsx,2000,6.706088993,TRUE
29 best from 1102 c.xlsx,2001,6.139452055,FALSE
29 best from 1102 c.xlsx,2002,6.803116765,FALSE
29 best from 1102 c.xlsx,2003,7.064328767,FALSE
29 best from 1102 c.xlsx,2004,5.748907104,TRUE
29 best from 1102 c.xlsx,2005,4.245479452,FALSE
29 best from 1102 c.xlsx,2006,4.699178082,FALSE
29 best from 1102 c.xlsx,2007,5.323150685,FALSE
29 best from 1102 c.xlsx,2008,5.316965912,TRUE
29 best from 1102 c.xlsx,2009,4.705622962,FALSE
29 best from 1110 c.xlsx,1981,4.444486301,FALSE
29 best from 1110 c.xlsx,1982,4.297793542,FALSE
29 best from 1110 c.xlsx,1983,4.360026093,FALSE
29 best from 1110 c.xlsx,1984,6.435354866,TRUE
29 best from 1110 c.xlsx,1985,5.753879648,FALSE
29 best from 1110 c.xlsx,1986,3.9691808,FALSE
