Station Number,Grand Correction Factor
806,2.229815095
807,3.938070945
809,2.714014539
810,2.575471645
813,6.990123579
814,9.281793575
824,7.923714025
902,2.636678993
903,2.622804003
907,2.755816156
909,2.155428938
911,1.803436727
912,2.074223799
915,2.106372692
922,1.809392431
1002,4.515816944
1005,3.535541471
1101,2.351991937
1102,3.582578334
1104,2.685173225
1108,2.751658466
1110,2.070532758
1111,1.636319535
1112,2.137650102
1118,1.780021182
